Athlete,Week,Day of the Week,Category,Exercise,Reps,Sets,Set,Set_Reps,Set_Weight,Variant,Notes,Unnamed: 0,Athlete comments
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,2,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,2,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,2,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,2,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,2,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,2,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_51,1,Jerk,Spinta in spaccata dai blocchi,2.0,5.0,3,,,,110-115 kg,,
Daniele Conca,2024_51,1,Snatch,Strappo da terra,1.0,5.0,3,,,,90-95kg,,
Daniele Conca,2024_51,1,Snatch,Spinte strappo no piedi,3.0,4.0,3,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_51,2,Clean,Tirata + girata sosp b + girata sosp,3.0,5.0,3,,,,1 + 1 +1 - 110-115,,
Daniele Conca,2024_51,2,Clean pull,Stacchi slancio,2.0,4.0,3,,,,135 kg,,
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,3,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,3,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,3,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,3,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,3,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,3,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_51,1,Jerk,Spinta in spaccata dai blocchi,2.0,5.0,4,,,,110-115 kg,,
Daniele Conca,2024_51,1,Snatch,Strappo da terra,1.0,5.0,4,,,,90-95kg,,
Daniele Conca,2024_51,1,Snatch,Spinte strappo no piedi,3.0,4.0,4,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_51,2,Clean,Tirata + girata sosp b + girata sosp,3.0,5.0,4,,,,1 + 1 +1 - 110-115,,
Daniele Conca,2024_51,2,Clean pull,Stacchi slancio,2.0,4.0,4,,,,135 kg,,
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,4,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,4,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,4,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,4,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,4,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,4,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_51,1,Jerk,Spinta in spaccata dai blocchi,2.0,5.0,5,,,,110-115 kg,,
Daniele Conca,2024_51,1,Snatch,Strappo da terra,1.0,5.0,5,,,,90-95kg,,
Daniele Conca,2024_51,1,Snatch,Spinte strappo no piedi,3.0,4.0,5,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_51,2,Clean,Tirata + girata sosp b + girata sosp,3.0,5.0,5,,,,1 + 1 +1 - 110-115,,
Daniele Conca,2024_51,2,Clean pull,Stacchi slancio,2.0,4.0,5,,,,135 kg,,
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,5,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,5,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,5,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,5,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,5,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,5,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_51,1,Jerk,Spinta in spaccata dai blocchi,2.0,5.0,6,,,,110-115 kg,,
Daniele Conca,2024_51,1,Snatch,Strappo da terra,1.0,5.0,6,,,,90-95kg,,
Daniele Conca,2024_51,1,Snatch,Spinte strappo no piedi,3.0,4.0,6,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_51,2,Clean,Tirata + girata sosp b + girata sosp,3.0,5.0,6,,,,1 + 1 +1 - 110-115,,
Daniele Conca,2024_51,2,Clean pull,Stacchi slancio,2.0,4.0,6,,,,135 kg,,
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,6,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,6,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,6,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,6,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,6,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,6,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_51,1,Jerk,Spinta in spaccata dai blocchi,2.0,5.0,7,,,,110-115 kg,,
Daniele Conca,2024_51,1,Snatch,Strappo da terra,1.0,5.0,7,,,,90-95kg,,
Daniele Conca,2024_51,1,Snatch,Spinte strappo no piedi,3.0,4.0,7,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_51,2,Clean,Tirata + girata sosp b + girata sosp,3.0,5.0,7,,,,1 + 1 +1 - 110-115,,
Daniele Conca,2024_51,2,Clean pull,Stacchi slancio,2.0,4.0,7,,,,135 kg,,
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,7,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,7,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,7,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,7,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,7,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,7,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_51,1,Jerk,Spinta in spaccata dai blocchi,2.0,5.0,8,,,,110-115 kg,,
Daniele Conca,2024_51,1,Snatch,Strappo da terra,1.0,5.0,8,,,,90-95kg,,
Daniele Conca,2024_51,1,Snatch,Spinte strappo no piedi,3.0,4.0,8,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_51,2,Clean,Tirata + girata sosp b + girata sosp,3.0,5.0,8,,,,1 + 1 +1 - 110-115,,
Daniele Conca,2024_51,2,Clean pull,Stacchi slancio,2.0,4.0,8,,,,135 kg,,
Daniele Conca,2024_51,2,Squat,Gambe avanti,2.0,5.0,8,,,,135-140kg,,
Daniele Conca,2024_51,3,Snatch,Strappo no piedi,2.0,4.0,8,,,,,,
Daniele Conca,2024_51,3,Accessory,Push press,3.0,4.0,8,,,,,,
Daniele Conca,2024_51,3,Squat,Gambe dietro,2.0,5.0,8,,,,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,8,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2024_51,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,8,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2024_51,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,1,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,1,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,1,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,2,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,2,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,2,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,3,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,3,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,3,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,4,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,4,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,4,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,5,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,5,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,5,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,6,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,6,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,6,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,7,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,7,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,7,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_52,1,Clean,Tirata + Girata sosp b in piedi,2.0,5.0,8,,,,110-115 kg,,
Daniele Conca,2024_52,1,Snatch,Strappo sosp ,2.0,4.0,8,,,,90-95kg,,
Daniele Conca,2024_52,1,Accessory,Stacchi rumeni presa intermedia,6.0,5.0,8,,,,Stessa cosa di sabato scorso,,
Daniele Conca,2024_52,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,1,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,1,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,1,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,1,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,1,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,1,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,1,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,1,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,1,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,1,1.0,90.0,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,1,5.0,70.0,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,1,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,1,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,1,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,2,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,2,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,2,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,2,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,2,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,2,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,2,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,2,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,2,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,2,1.0,95.0,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,2,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,2,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,2,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,2,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,3,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,3,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,3,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,3,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,3,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,3,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,3,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,3,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,3,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,3,1.0,95.0,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,3,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,3,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,3,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,3,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,4,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,4,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,4,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,4,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,4,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,4,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,4,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,4,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,4,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,4,1.0,100.0,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,4,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,4,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,4,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,4,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,5,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,5,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,5,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,5,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,5,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,5,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,5,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,5,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,5,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,5,,,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,5,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,5,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,5,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,5,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,6,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,6,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,6,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,6,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,6,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,6,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,6,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,6,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,6,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,6,,,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,6,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,6,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,6,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,6,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,7,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,7,,,,1 + 2,,
Daniele Conca,2025_01,1,Clean and Jerk,Girate in piedi + spinta,1.0,4.0,7,,,,Solo se la schiena regge. Ricordati di ottimizzare il timing quando mollare il bilanciere,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,7,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,7,,,,,,
Daniele Conca,2025_01,2,Jerk,Spinte dai cavalletti,2.0,4.0,7,,,,100-110kg in base a come va laschiena. Ottimizza il timing di quando buttare giù il bilanciere,,
Daniele Conca,2025_01,2,Snatch,Strappo no piedi,2.0,4.0,7,,,,,,
Daniele Conca,2025_01,2,,Routine schiena,,,7,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,7,,,,,,
Daniele Conca,2025_01,3,Clean and Jerk,Clean Jerk,1.0,4.0,7,,,,,,
Daniele Conca,2025_01,3,Accessory,Stacchi rumeni + ponte glutei,5.0,3.0,7,,,,,,
Daniele Conca,2025_01,3,,Routine schiena,,,7,,,,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/results?search_query=thoracic+spine+mobility,,,7,,,Prova questi esercizi e scegli i 2 che senti più difficili da fare quotidianamente,,,
Daniele Conca,2025_01,4,,https://www.youtube.com/watch?v=jj2AAH6jbHk,,,7,,,Prova questa routine completa un paio di volte alla settimana,,,
Daniele Conca,2025_01,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_01,1,,Routine schiena,,3.0,8,,,,1 + 2,,
Daniele Conca,2025_01,1,Snatch,Tirata strappo + strappo sosp bassa,3.0,4.0,8,,,,1 + 2,,
